source,ticker,query,query_class,expected_page_family,expected_url,ranking_url,impressions,clicks,ctr,position,ownership_status,status,intended_route_impressions,wrong_route_impressions,total_metric_route_impressions,intended_ownership_rate,competing_route_count,dominant_route,dominant_route_impressions,dominant_route_is_correct,route_breakdown
"google","ADT","adt shares outstanding","SHARES","SHARES","/stocks/ADT/shares-outstanding","/stocks/ADT/eps","1","0","0","75","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/ADT/eps","1","no","/stocks/ADT/eps=1"
"google","DIS","annual revenue disney","REVENUE","REVENUE","/stocks/DIS/revenue","/stocks/DIS/net-income","1","0","0","64","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/DIS/net-income","1","no","/stocks/DIS/net-income=1"
"google","DELL","dell technologies historical annual revenue last 10 years fy2015 to fy2025","REVENUE","REVENUE","/stocks/DELL/revenue","/stocks/DELL/shares-outstanding","1","0","0","18","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/DELL/shares-outstanding","1","no","/stocks/DELL/shares-outstanding=1"
"google","DELL","dell technologies historical revenue 10 years fy2015 to fy2025","REVENUE","REVENUE","/stocks/DELL/revenue","/stocks/DELL/gross-profit","1","0","0","17","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/DELL/gross-profit","1","no","/stocks/DELL/gross-profit=1"
"google","DELL","dell technologies revenue fy2016 fy2017 fy2018 fy2019 fy2020 fy2021 fy2022 fy2023 fy2024 fy2025","REVENUE","REVENUE","/stocks/DELL/revenue","/stocks/DELL/shares-outstanding","1","0","0","18","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/DELL/shares-outstanding","1","no","/stocks/DELL/shares-outstanding=1"
"google","GM","gm annual revenue","REVENUE","REVENUE","/stocks/GM/revenue","/stocks/GM/gross-profit","1","0","0","77","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/GM/gross-profit","1","no","/stocks/GM/gross-profit=1"
"google","GM","gm yearly revenue","REVENUE","REVENUE","/stocks/GM/revenue","/stocks/GM/gross-profit","1","0","0","77","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/GM/gross-profit","1","no","/stocks/GM/gross-profit=1"
"google","LECO","lincoln electric annual revenue","REVENUE","REVENUE","/stocks/LECO/revenue","/stocks/LECO/net-income","1","0","0","56","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/LECO/net-income","1","no","/stocks/LECO/net-income=1"
"google","LYFT","lyft net income","NET_INCOME","NET_INCOME","/stocks/LYFT/net-income","/stocks/LYFT/revenue","1","0","0","65","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/LYFT/revenue","1","no","/stocks/LYFT/revenue=1"
"google","MIR","mirion technologies revenue","REVENUE","REVENUE","/stocks/MIR/revenue","/stocks/MIR/net-income","1","0","0","60","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/MIR/net-income","1","no","/stocks/MIR/net-income=1"
"google","NYT","new york times annual revenue","REVENUE","REVENUE","/stocks/NYT/revenue","/stocks/NYT/net-income","1","0","0","62","WRONG_METRIC","WRONG_METRIC","0","1","1","0","0","/stocks/NYT/net-income","1","no","/stocks/NYT/net-income=1"
"google","WAB","""earnings per share - wab"" ""shares outstanding - wab""","AMBIGUOUS_QUERY","AMBIGUOUS","","/stocks/WAB/dividend-history","892","0","0","1.5717488789237668","AMBIGUOUS","AMBIGUOUS","0","892","892","0","0","/stocks/WAB/dividend-history","892","no","/stocks/WAB/dividend-history=892"
